event,date,producto_relacionado
Christmas Eve,2025-12-24,Refresco limón 600 ml
Christmas Eve,2025-12-24,Mandarina
Christmas Eve,2025-12-24,Jugo de naranja 1 L
Christmas Eve,2025-12-24,Papaya
Christmas Eve,2025-12-24,Piña
Christmas Eve,2025-12-24,Plátano
Christmas Eve,2025-12-24,Tejocote
Christmas Eve,2025-12-24,Toronja (pomelo)
Christmas Eve,2025-12-24,Uva
Christmas Eve,2025-12-24,Zapote negro
Christmas Eve,2025-12-24,Acelga
Christmas Eve,2025-12-24,Ajo
Christmas Eve,2025-12-24,Betabel
Christmas Eve,2025-12-24,Calabacita
Christmas Eve,2025-12-24,Cebolla
Christmas Eve,2025-12-24,Col (repollo)
Christmas Eve,2025-12-24,Coliflor
Christmas Eve,2025-12-24,Espinaca
Christmas Eve,2025-12-24,Jitomate (tomate rojo)
Christmas Eve,2025-12-24,Lechuga
Christmas Eve,2025-12-24,Papas fritas clásicas 170 g
Christmas Eve,2025-12-24,Pepino
Christmas Eve,2025-12-24,Tomate verde (tomatillo)
Christmas Eve,2025-12-24,Zanahoria
Christmas Day,2025-12-25,Aguacate Hass
Christmas Day,2025-12-25,Guayaba
Christmas Day,2025-12-25,Lima
Christmas Day,2025-12-25,Refresco limón 600 ml
Christmas Day,2025-12-25,Mandarina
Christmas Day,2025-12-25,Jugo de naranja 1 L
Christmas Day,2025-12-25,Papaya
Christmas Day,2025-12-25,Piña
Christmas Day,2025-12-25,Plátano
Christmas Day,2025-12-25,Tejocote
Christmas Day,2025-12-25,Toronja (pomelo)
Christmas Day,2025-12-25,Uva
Christmas Day,2025-12-25,Zapote negro
Christmas Day,2025-12-25,Acelga
Christmas Day,2025-12-25,Ajo
Christmas Day,2025-12-25,Betabel
Christmas Day,2025-12-25,Calabacita
Christmas Day,2025-12-25,Cebolla
Christmas Day,2025-12-25,Col (repollo)
Christmas Day,2025-12-25,Coliflor
Christmas Day,2025-12-25,Espinaca
Christmas Day,2025-12-25,Jitomate (tomate rojo)
Christmas Day,2025-12-25,Lechuga
Christmas Day,2025-12-25,Papas fritas clásicas 170 g
